S0,K,T,r,sigma,M,N,method,price,delta,gamma,vega,vanna,volga,delta_analytical,gamma_analytical,vega_analytical,vanna_analytical,volga_analytical,delta_error_pct,gamma_error_pct,vega_error_pct,vanna_error_pct,volga_error_pct,time_ms,n_pde_solves,graph_nodes,graph_edges,graph_max_fan_in
100,100.0,0.5,0.05,0.2,51,50,Double-AAD,6.871867852553818,0.5975823070069481,0.027722058610607732,27.496926914209617,-0.1902111733001453,1.5762001643361612,0.5977344689084383,0.027358658565220986,27.35865856522099,-0.2051899392391573,3.5908239366852532,0.02545643749941626,1.3282816645429742,0.5053915514863674,7.299951447206979,56.10477728431385,47328.19099002518,3,33630,67066,2
100,100.0,0.5,0.05,0.2,51,50,Edge-Pushing,6.871867852553818,0.5975823070069481,0.027722058610607732,27.496926914209617,-0.1902111733001453,1.5762001643361612,0.5977344689084383,0.027358658565220986,27.35865856522099,-0.2051899392391573,3.5908239366852532,0.02545643749941626,1.3282816645429742,0.5053915514863674,7.299951447206979,56.10477728431385,47348.77058304846,1,33630,67066,2
100,100.0,0.5,0.05,0.3,51,50,Analytical,9.634876628449184,0.5885891135975726,0.0183407160648456,27.511074097268406,-0.015283930054038018,0.24199555918893534,0.5885891135975726,0.0183407160648456,27.511074097268406,-0.015283930054038018,0.24199555918893534,0.0,0.0,0.0,0.0,0.0,0.48183114267885685,0,0,0,0
100,100.0,0.5,0.05,0.3,51,50,Bumping,9.554096576559422,0.5868967613946428,0.018538470102120747,27.794024329705902,-0.008574019914942,-2.268444228032962,0.5885891135975726,0.0183407160648456,27.511074097268406,-0.015283930054038018,0.24199555918893534,0.28752692902963456,1.0782241902440732,1.0284957666032775,43.901732835549446,1037.3908494998038,73.63247987814248,5,0,0,0
100,100.0,0.5,0.05,0.3,51,50,AAD+Bumping,9.625901626518866,0.5889678888003511,0.018426773579371947,27.550282093376353,-0.015778056277027108,-0.639205164764256,0.5885891135975726,0.0183407160648456,27.511074097268406,-0.015283930054038018,0.24199555918893534,0.06435307653982342,0.46921567414314636,0.1425171404406942,3.232978829673077,364.13921268084255,2933.228845940903,5,33630,67066,2
100,100.0,0.5,0.05,0.3,51,50,Double-AAD,9.625901626518866,0.5889678888003511,0.018426773579342717,27.550282093376353,-0.015539862051282811,-0.6176802104467317,0.5885891135975726,0.0183407160648456,27.511074097268406,-0.015283930054038018,0.24199555918893534,0.06435307653982342,0.46921567398377373,0.1425171404406942,1.6745169360231114,355.24444023556845,50421.09075910412,3,33630,67066,2
100,100.0,0.5,0.05,0.3,51,50,Edge-Pushing,9.625901626518866,0.5889678888003511,0.018426773579342717,27.550282093376353,-0.015539862051282811,-0.6176802104467317,0.5885891135975726,0.0183407160648456,27.511074097268406,-0.015283930054038018,0.24199555918893534,0.06435307653982342,0.46921567398377373,0.1425171404406942,1.6745169360231114,355.24444023556845,50601.55706293881,1,33630,67066,2
100,100.0,1.0,0.05,0.15,51,50,Analytical,8.591658312089159,0.6584855148307418,0.024468791497288662,36.703187245932995,-0.6321104470132903,25.811176586376025,0.6584855148307418,0.024468791497288662,36.703187245932995,-0.6321104470132903,25.811176586376025,0.0,0.0,0.0,0.0,0.0,0.49193110316991806,0,0,0,0
100,100.0,1.0,0.05,0.15,51,50,Bumping,8.470894035112321,0.654640600420319,0.025144775484480488,37.64838298958226,-0.5831855470653236,10.500084506066543,0.6584855148307418,0.024468791497288662,36.703187245932995,-0.6321104470132903,25.811176586376025,0.5839026559925296,2.7626374080090175,2.5752415922788834,7.739929023343309,59.31962082035103,37.9026981536299,5,0,0,0
100,100.0,1.0,0.05,0.15,51,50,AAD+Bumping,8.567005825509742,0.6580984392838478,0.02485411559649542,37.04914031945623,-0.616074166443964,18.079610828461412,0.6584855148307418,0.024468791497288662,36.703187245932995,-0.6321104470132903,25.811176586376025,0.058782697291903774,1.5747573771653323,0.9425695681553319,2.5369428151516074,29.95433289157219,2957.5600950047374,5,33630,67066,2
